Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Trust..Government.Corruption.,Dystopia.Residual,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Finland,,1.0,7.769,,,,,,,0.153,,,,,,,,,,,,1.0,Finland,7.769,1.34,1.587,0.986,0.596,0.393
Denmark,,2.0,7.6,,,,,,,0.252,,,,,,,,,,,,2.0,Denmark,7.6,1.383,1.573,0.996,0.592,0.41
Norway,,3.0,7.554,,,,,,,0.271,,,,,,,,,,,,3.0,Norway,7.554,1.488,1.582,1.028,0.603,0.341
Iceland,,4.0,7.494,,,,,,,0.354,,,,,,,,,,,,4.0,Iceland,7.494,1.38,1.624,1.026,0.591,0.118
Netherlands,,5.0,7.488,,,,,,,0.322,,,,,,,,,,,,5.0,Netherlands,7.488,1.396,1.522,0.999,0.557,0.298
Switzerland,,6.0,7.48,,,,,,,0.263,,,,,,,,,,,,6.0,Switzerland,7.48,1.452,1.526,1.052,0.572,0.343
Sweden,,7.0,7.343,,,,,,,0.267,,,,,,,,,,,,7.0,Sweden,7.343,1.387,1.487,1.009,0.574,0.373
New Zealand,,8.0,7.307,,,,,,,0.33,,,,,,,,,,,,8.0,New Zealand,7.307,1.303,1.557,1.026,0.585,0.38
Canada,,9.0,7.278,,,,,,,0.285,,,,,,,,,,,,9.0,Canada,7.278,1.365,1.505,1.039,0.584,0.308
Austria,,10.0,7.246,,,,,,,0.244,,,,,,,,,,,,10.0,Austria,7.246,1.376,1.475,1.016,0.532,0.226
Australia,,11.0,7.228,,,,,,,0.332,,,,,,,,,,,,11.0,Australia,7.228,1.372,1.548,1.036,0.557,0.29
Costa Rica,,12.0,7.167,,,,,,,0.144,,,,,,,,,,,,12.0,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.093
Israel,,13.0,7.139,,,,,,,0.261,,,,,,,,,,,,13.0,Israel,7.139,1.276,1.455,1.029,0.371,0.082
Luxembourg,,14.0,7.09,,,,,,,0.194,,,,,,,,,,,,14.0,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.316
United Kingdom,,15.0,7.054,,,,,,,0.348,,,,,,,,,,,,15.0,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.278
Ireland,,16.0,7.021,,,,,,,0.298,,,,,,,,,,,,16.0,Ireland,7.021,1.499,1.553,0.999,0.516,0.31
Germany,,17.0,6.985,,,,,,,0.261,,,,,,,,,,,,17.0,Germany,6.985,1.373,1.454,0.987,0.495,0.265
Belgium,,18.0,6.923,,,,,,,0.16,,,,,,,,,,,,18.0,Belgium,6.923,1.356,1.504,0.986,0.473,0.21
United States,,19.0,6.892,,,,,,,0.28,,,,,,,,,,,,19.0,United States,6.892,1.433,1.457,0.874,0.454,0.128
Czech Republic,,20.0,6.852,,,,,,,0.046,,,,,,,,,,,,20.0,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.036
United Arab Emirates,,21.0,6.825,,,,,,,0.262,,,,,,,,,,,,21.0,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.182
Malta,,22.0,6.726,,,,,,,0.375,,,,,,,,,,,,22.0,Malta,6.726,1.3,1.52,0.999,0.564,0.151
Mexico,,23.0,6.595,,,,,,,0.074,,,,,,,,,,,,23.0,Mexico,6.595,1.07,1.323,0.861,0.433,0.073
France,,24.0,6.592,,,,,,,0.111,,,,,,,,,,,,24.0,France,6.592,1.324,1.472,1.045,0.436,0.183
Taiwan,,25.0,6.446,,,,,,,0.242,,,,,,,,,,,,25.0,Taiwan,6.446,1.368,1.43,0.914,0.351,0.097
Chile,,26.0,6.444,,,,,,,0.187,,,,,,,,,,,,26.0,Chile,6.444,1.159,1.369,0.92,0.357,0.056
Guatemala,,27.0,6.436,,,,,,,0.175,,,,,,,,,,,,27.0,Guatemala,6.436,0.8,1.269,0.746,0.535,0.078
Saudi Arabia,,28.0,6.375,,,,,,,0.08,,,,,,,,,,,,28.0,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.132
Qatar,,29.0,6.374,,,,,,,0.22,,,,,,,,,,,,29.0,Qatar,6.374,1.684,1.313,0.871,0.555,0.167
Spain,,30.0,6.354,,,,,,,0.153,,,,,,,,,,,,30.0,Spain,6.354,1.286,1.484,1.062,0.362,0.079
Panama,,31.0,6.321,,,,,,,0.109,,,,,,,,,,,,31.0,Panama,6.321,1.149,1.442,0.91,0.516,0.054
Brazil,,32.0,6.3,,,,,,,0.099,,,,,,,,,,,,32.0,Brazil,6.3,1.004,1.439,0.802,0.39,0.086
